BSHspecies	ratio	min	max	phase	comparison	search_method
Phocaeicola vulgatus (Bacteroides vulgatus)-A0A1Q6JKX4	-4.187520864515	-10.048	0.854379	dark	FAvFT	targetted
Phocaeicola dorei-A0A5C6KVS7	-4.187520864515	-10.048	0.854379	dark	FAvFT	targetted
Lactobacillus johnsonii-A0A7H9E0X0	-4.187520864515	-10.048	0.854379	dark	FAvFT	targetted
Phocaeicola vulgatus (Bacteroides vulgatus)-A0A415NKX7	-4.187520864515	-10.048	0.854379	dark	FAvFT	targetted
Lactobacillus gasseri SV-16A-US-A0A087QBK2	-4.187520864515	-10.048	0.854379	dark	FAvFT	targetted
Phocaeicola vulgatus (Bacteroides vulgatus)-A0A1H7H150	-4.187520864515	-10.048	0.854379	dark	FAvFT	targetted
Lactobacillus johnsonii-A0A137PJZ3	-4.187520864515	-10.048	0.854379	dark	FAvFT	targetted
Lactobacillus gasseri-A0A366KK12	-4.187520864515	-10.048	0.854379	dark	FAvFT	targetted
Mycoplasma sp. CAG:956-R5MTH4	-4.17361787576	-10.3702	1.68828	light	FAvFT	targetted
Anaerostipes hadrus-A0A174B5B8	-4.139992883502	-10.4342	1.25007	dark	FAvFT	targetted
CAG-56_sp004793585	-4.13157068862001	-10.8744	1.50068	dark	NAvFA	untargetted
Parabacteroides goldsteinii-A0A6G1ZF03	-4.116583524345	-10.4326	1.08054	light	FAvFT	targetted
Staphylococcus equorum-A0A1E5TNV5	-4.0968014843	-10.8631	2.83499	dark	FAvFT	targetted
Limosilactobacillus_reuteri	-4.09508796390001	-11.2547	2.00087	dark	FAvFT	untargetted
Bacteroides cellulosilyticus-A0A412IFM1	-4.09108158235	-10.3638	1.47034	light	FAvFT	targetted
Lactobacillus_hominis	-4.077930416335	-11.4008	2.71828	dark	FAvFT	untargetted
Pseudovibrio axinellae-A0A161V6V2	-4.075207638415	-11.3198	2.16522	dark	FAvFT	targetted
Pseudovibrio denitrificans-A0A1I7DPW8	-4.075207638415	-11.3198	2.16522	dark	FAvFT	targetted
Intestinimonas butyriciproducens-A0A0S2W269	-4.070265868845	-10.2547	0.780695	light	FAvFT	targetted
Prevotella ruminicola (Bacteroides ruminicola)-A0A1H5RQG8	-4.06792972378	-10.8867	0.749766	light	FAvFT	targetted
Enterococcus casseliflavus (Enterococcus flavescens)-A0A1L8SG36	-4.06364600762	-11.0711	0.928815	light	FAvFT	targetted
Enterococcus casseliflavus (Enterococcus flavescens)-A0A494SMF7	-4.06364600762	-11.0711	0.928815	light	FAvFT	targetted
Bacteroides intestinalis-A0A414LLU8	-4.063083139312	-9.81526	1.42273	light	FAvFT	targetted
Parabacteroides goldsteinii-A0A943XZG6	-4.04773077727	-9.91813	1.44776	light	FAvFT	targetted
Parabacteroides goldsteinii DSM 19448 = WAL 12034-A0A0F5JID4	-4.039826765845	-10.2576	1.5183	light	FAvFT	targetted
Parabacteroides goldsteinii dnLKV18-S0GND7	-4.03323204970999	-10.342	1.3072	light	FAvFT	targetted
Levilactobacillus brevis ATCC 14869 = DSM 20054-U2PLY1	-4.032185064881	-10.9124	2.0892	dark	FAvFT	targetted
Levilactobacillus brevis (Lactobacillus brevis)-A0A5B7XYS0	-4.032185064881	-10.9124	2.0892	dark	FAvFT	targetted
Levilactobacillus brevis (Lactobacillus brevis)-A0A1W6NFJ9	-4.032185064881	-10.9124	2.0892	dark	FAvFT	targetted
Levilactobacillus brevis (Lactobacillus brevis)-A0A856KDH0	-4.032185064881	-10.9124	2.0892	dark	FAvFT	targetted
Levilactobacillus brevis KB290-M5AZ08	-4.032185064881	-10.9124	2.0892	dark	FAvFT	targetted
Chlorogloeopsis fritschii PCC 6912-A0A433NP38	-4.0291902186	-9.43964	2.21854	light	FAvFT	targetted
Enterococcus faecium (Streptococcus faecium)-A0A286V0V7	-4.023013322875	-10.3549	1.56383	light	FAvFT	targetted
Bacteroides intestinalis-A0A3E4IJK0	-4.022802908	-10.2278	1.15431	light	FAvFT	targetted
Bacteroides intestinalis-A0A412PCE6	-4.022802908	-10.2278	1.15431	light	FAvFT	targetted
Lactococcus lactis subsp. lactis CNCM I-1631-G6FB77	-4.02140171428349	-10.9447	1.38033	light	FAvFT	targetted
Lactococcus lactis subsp. lactis (Streptococcus lactis)-A0A0V8CBE0	-4.02140171428349	-10.9447	1.38033	light	FAvFT	targetted
Lactococcus lactis subsp. lactis (Streptococcus lactis)-A0A0V8E794	-4.02140171428349	-10.9447	1.38033	light	FAvFT	targetted
Bacillus subtilis subsp. globigii-A0A7U5D3J7	-4.02043077047501	-10.2493	1.38835	light	FAvFT	targetted
Catellicoccus marimammalium M35/04/3-K8ZQD3	-4.010055899475	-10.4474	1.47369	dark	FAvFT	targetted
